S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% ofVotes,constituency_number
7,RAMESH PILOT,Independent,1105,3,1108,0.6,215
8,NOTA,None of the Above,1254,3,1257,0.68,215
1,ANIL JAIN KALUHEDA,Bharatiya Janata Party,92876,659,93535,57.71,216
2,ABDUL RAJJAK LALA,Bahujan Samaj Party,571,7,578,0.36,216
3,SMT. MAYA RAJESH TRIVEDI,Indian National Congress,65309,713,66022,40.74,216
4,HAJI MUSHTAK AHMED,Independent,398,2,400,0.25,216
5,MOHAMMAD RAFIQUE,Independent,204,1,205,0.13,216
6,SURESH PRAJAPAT,Independent,133,4,137,0.08,216
7,NOTA,None of the Above,1175,19,1194,0.74,216
1,CHETAN PREMNARAYAN YADAV,Indian National Congress,81467,1291,82758,45.04,217
2,PRAKASH NARVARIYA,Bahujan Samaj Party,1394,25,1419,0.77,217
3,DR. MOHAN YADAV,Bharatiya Janata Party,94753,946,95699,52.08,217
4,KULDEEP SINGH RATHOD,Vastavik Bharat Party,549,5,554,0.3,217
5,NILESH TIWARI,Independent,171,2,173,0.09,217
6,PREM SINGH,Independent,351,4,355,0.19,217
7,RAHUL CHOUHAN,Independent,142,0,142,0.08,217
8,VIRENDRA SINGH ATAL,Independent,289,3,292,0.16,217
9,SANDEEP PATEL,Independent,246,2,248,0.13,217
10,NOTA,None of the Above,2067,31,2098,1.14,217
1,JITENDRA UDAY SINGH PANDYA,Bharatiya Janata Party,80403,325,80728,46.96,218
2,NiRBHAy SiNGH CHANDRAVANSHi,Bahujan Samaj Party,3302,5,3307,1.92,218
3,MURLI MORWAL,Indian National Congress,43732,303,44035,25.62,218
4,KIshor Malviya,Independent,722,3,725,0.42,218
5,PRAKASH GOUD,Independent,10458,22,10480,6.1,218
6,RAJENDRA SINGH SOLANKI,Independent,30900,105,31005,18.04,218
7,NOTA,None of the Above,1620,4,1624,0.94,218
1,MATHURA LAL DAMAR,Bharatiya Janata Party,102717,251,102968,55.83,219
2,LAXMAN SINGH DINDOR,Indian National Congress,68263,381,68644,37.22,219
3,SANJAY BHABHAR,Bahujan Samaj Party,1397,3,1400,0.76,219
4,Dr. ABHAY OHRI,Independent,8517,45,8562,4.64,219
5,NANALAL KHARADI,Independent,992,1,993,0.54,219
6,NOTA,None of the Above,1870,4,1874,1.02,219
1,"CHETANYA KASYAP ""BHAIYYAJI""",Bharatiya Janata Party,108063,1593,109656,67.83,220
2,ADVOCATE JAHIRUDDIN,Bahujan Samaj Party,624,10,634,0.39,220
3,PARAS DADA,Indian National Congress,47911,1037,48948,30.28,220
4,AAFREEN BEE ADVOCATE,Samajwadi Party,349,1,350,0.22,220
5,MOHAMMAD JAFAR,United National Party,107,0,107,0.07,220
6,ENGINEER VIJAY SINGH YADAV ( ADVOCATE ),Bhartiya Swarnim Yug Party,101,1,102,0.06,220
7,ARUN RAO,Independent,307,3,310,0.19,220
8,Mohansingh Solanki,Independent,183,2,185,0.11,220
9,NOTA,None of the Above,1341,26,1367,0.85,220
1,SHANKAR LAL,Bahujan Samaj Party,1650,1,1651,0.87,221
2,SANGEETA-VIJAY CHAREL,Bharatiya Janata Party,41332,252,41584,21.81,221
3,"HARSH VIJAY GEHLOT ""GUDDU""",Indian National Congress,65701,900,66601,34.93,221
4,KAMLESHWAR DODIYAR,Bharat Adivasi Party,71036,183,71219,37.36,221
5,DHARMENDRA,Janata Dal (United),1274,2,1276,0.67,221
6,NAVEEN DAMOR ADVOCATE,Bhartiya Tribal Party,640,2,642,0.34,221
7,BHURI SINGAD,Samajwadi Party,678,1,679,0.36,221
8,PAVAN,Independent,1116,0,1116,0.59,221
9,VAGESHWAR MAIDA,Independent,898,0,898,0.47,221
10,SURAJ BHABHAR,Independent,2402,2,2404,1.26,221
11,NOTA,None of the Above,2571,9,2580,1.35,221
1,DASHRATH SAI AANJANA,Bahujan Samaj Party,1042,4,1046,0.51,222
2,"RAJENDRA PANDEY ""RAJU BHAIYA""",Bharatiya Janata Party,91343,676,92019,44.89,222
3,VIRENDRA SINGH SOLANKI,Indian National Congress,65003,995,65998,32.19,222
4,DILAVAR KHAN,Aazad Samaj Party (Kanshi Ram),2143,11,2154,1.05,222
5,ENGINEER VIJAY SINGH YADAV ( ADVOCATE ),Bhartiya Swarnim Yug Party,687,1,688,0.34,222
6,JEEVAN SINGH SHERPUR,Independent,40518,248,40766,19.89,222
7,MOHAN PARIHAR,Independent,817,5,822,0.4,222
8,RAMESHWAR DABI,Independent,411,2,413,0.2,222
9,NOTA,None of the Above,1084,16,1100,0.54,222
1,DR. CHINTAMANI MALVIYA,Bharatiya Janata Party,106439,323,106762,57.44,223
2,MANOJ CHAWLA,Indian National Congress,33138,427,33565,18.06,223
3,GOVARDHAN PARMAR,Aazad Samaj Party (Kanshi Ram),3411,6,3417,1.84,223
