S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% ofVotes,constituency_number
5,DEEPAK KHATIK,Independent,242,0,242,0.12,2
6,DURJAN JATAV,Independent,595,0,595,0.29,2
7,BABU LAL,Independent,821,0,821,0.4,2
8,MUKESH MALHOTRA AD.,Independent,44043,85,44128,21.31,2
9,RAMPAL ADIWASI,Independent,932,0,932,0.45,2
10,RAMROOP SINGH,Independent,430,2,432,0.21,2
11,LAKHAN SINGH,Independent,709,0,709,0.34,2
12,SULTAN,Independent,685,0,685,0.33,2
13,NOTA,None of the Above,1892,3,1895,0.92,2
1,ASHOK TIWARI,Communist Party of India (Marxist),1305,15,1320,0.73,3
2,BAIJ NATH KUSHWAH,Indian National Congress,56286,696,56982,31.63,3
3,Smt. Sarla vijendra Rawat,Bharatiya Janata Party,66305,482,66787,37.07,3
4,SONI DHAKAD,Bahujan Samaj Party,50773,380,51153,28.39,3
5,ABDUL GAFFAR SHAH,Public Political Party,349,0,349,0.19,3
6,KUN. Er. DHEER SINGH JHUNDPURA,Bharatiya Sampuran Krantikari Party,110,1,111,0.06,3
7,LAL SINGH RATHOR,Samajwadi Party,1778,3,1781,0.99,3
8,Shyamveer yadav,Aazad Samaj Party (Kanshi Ram),459,0,459,0.25,3
9,NARESH SHRiWAS,Independent,168,0,168,0.09,3
10,RAVENDRA SHRIVASTAVA,Independent,185,1,186,0.1,3
11,HEMRAJ KEWAT,Independent,267,0,267,0.15,3
12,NOTA,None of the Above,585,4,589,0.33,3
1,PANKAJ UPADHYAY,Indian National Congress,88109,1144,89253,46.71,4
2,FOUJI BHAGWATI DHAKAD RAJODHA,Aam Aadmi Party,1950,16,1966,1.03,4
3,SUBEDAR SINGH SIKARWAR RAJOUDHA,Bharatiya Janata Party,58625,347,58972,30.86,4
4,SONERAM KUSHWAH,Bahujan Samaj Party,36893,145,37038,19.38,4
5,ANIL DHAKAD ASALPUR,Parivartan Party of India,248,0,248,0.13,4
6,Arjun Singh Sikarwar (Ranchhorpura),Bharatiya Majdoor Janta Party,143,3,146,0.08,4
7,PATIRAM BAGHORAKHURD,Jan Adhikar Party,94,0,94,0.05,4
8,BHARAT LAL UMARAIYA,Aazad Samaj Party (Kanshi Ram),463,0,463,0.24,4
9,MANIRAM DHAKAD,Samajwadi Party,905,8,913,0.48,4
10,REENA KUSHWAH,All India Forward Bloc,235,1,236,0.12,4
11,SATTAR SYA,Public Political Party,100,0,100,0.05,4
12,ALOK SHARMA,Independent,123,0,123,0.06,4
13,ANKUSH UPADHYAY,Independent,220,0,220,0.12,4
14,JITENDRA SINGH DHAKAD,Independent,276,1,277,0.14,4
15,RAMKUMAR JATAV (SOLANKI),Independent,178,0,178,0.09,4
16,NOTA,None of the Above,847,6,853,0.45,4
1,AJAB SINGH KUSHWAH,Indian National Congress,54754,535,55289,29.7,5
2,AIDAL SINGH KANSANA,Bharatiya Janata Party,72134,374,72508,38.95,5
3,KULDEEP SINGH SIKARWAR,Bahujan Samaj Party,56197,303,56500,30.35,5
4,Smt MAMTA KUSHWAH,Aazad Samaj Party (Kanshi Ram),623,1,624,0.34,5
5,SIYARAM,Independent,87,1,88,0.05,5
6,SUSHEL KUMAR KUSHWAH,Independent,82,0,82,0.04,5
7,HOTAM SINGH PARMAR,Independent,232,0,232,0.12,5
8,SHRINIWAS,Independent,252,2,254,0.14,5
9,NOTA,None of the Above,557,5,562,0.3,5
1,DINESH GURJAR,Indian National Congress,72409,1286,73695,43.2,6
2,RAGHURAJ SINGH KANSANA,Bharatiya Janata Party,53372,452,53824,31.55,6
3,RAMESH UPADHYAY,Aam Aadmi Party,1901,31,1932,1.13,6
4,RAKESH RUSTAM SINGH,Bahujan Samaj Party,36922,245,37167,21.79,6
5,CHITRALEKHA KUSHWAHA,Jan Adhikar Party,297,0,297,0.17,6
6,BHAGEERATH SINGH RATHOR,Parivartan Samaj Party,219,2,221,0.13,6
7,RAKESH KUSHWAH TALPURA WALE,Samajwadi Party,75,0,75,0.04,6
8,SHASHEE KUMAR PACHORI(JATAV),Aazad Samaj Party (Kanshi Ram),187,1,188,0.11,6
9,ANOOP SIKARWAR,Independent,67,1,68,0.04,6
10,JITENDRA,Independent,65,0,65,0.04,6
11,BHARAT SINGH,Independent,185,1,186,0.11,6
12,MANOJ,Independent,124,0,124,0.07,6
13,DR. MURARI LAL MITTAL,Independent,772,8,780,0.46,6
14,RAKESH,Independent,122,0,122,0.07,6
15,RAJENDRA AGRAWAL,Independent,152,0,152,0.09,6
16,RAM SUNDAR,Independent,488,0,488,0.29,6
17,SAGAR PATHAK,Independent,544,1,545,0.32,6
18,SUNIL SINGH,Independent,287,0,287,0.17,6
19,NOTA,None of the Above,372,10,382,0.22,6
1,NARENDRA SINGH TOMAR,Bharatiya Janata Party,78739,398,79137,48.94,7
2,BALVEER SINGH DANDOTIYA,Bahujan Samaj Party,54310,366,54676,33.81,7
3,Ravindra Singh Tomar Bhidosa,Indian National Congress,23690,316,24006,14.84,7
4,Surendra Singh Tomar,Aam Aadmi Party,670,5,675,0.42,7
5,DEEPAK KUSHWAH,Jan Adhikar Party,145,0,145,0.09,7
6,MAHESH AGRWAL MAMA,Samajwadi Party,744,4,748,0.46,7
7,RAVINDRA SINGH KUSHWAH,Rashtriya Samanta Dal,112,2,114,0.07,7
8,RAJESH KUSHWAH (GOUTAM) GHURGHAN WALE,Bahujan Mukti Party,113,0,113,0.07,7
9,Dhirendra Sharma,Independent,85,0,85,0.05,7
10,BRAJENDRA SINGH,Independent,89,0,89,0.06,7
11,RAJVEER SINGH,Independent,131,0,131,0.08,7
12,RAMKUMAR 'DADDA',Independent,124,0,124,0.08,7
13,SHAKIL MOhMMAD,Independent,225,0,225,0.14,7
14,Saurabh Sharma,Independent,667,1,668,0.41,7
15,NOTA,None of the Above,776,2,778,0.48,7
1,KAMLESH JATAV,Bharatiya Janata Party,57165,581,57746,39.79,8
2,DEVENDRA RAMNARAYAN SAKHWAR,Indian National Congress,79274,1099,80373,55.38,8
3,RAMBARAN SAKHAWAR,Bahujan Samaj Party,4146,33,4179,2.88,8
4,ANITA CHOUDHARY,Samajwadi Party,204,18,222,0.15,8
5,DHARMENDRA SINGH JATAV,Samata Samadhan Party,81,2,83,0.06,8
6,DHIR SINGH,Bharatiya Majdoor Janta Party,107,2,109,0.08,8
7,SURENDRA SINGH SAKHAWAR,Samatamoolak Samaj Party,96,0,96,0.07,8
8,SOMESH AZAD SAKHAWAR,Aazad Samaj Party (Kanshi Ram),492,3,495,0.34,8
9,AHIBARAN SINGH SAKHWAR,Independent,93,3,96,0.07,8
10,DHARMENDRA GOUR,Independent,90,2,92,0.06,8
11,MUNESH,Independent,102,0,102,0.07,8
12,VIKASH KIRAR,Independent,272,0,272,0.19,8
13,VINOD KUMAR,Independent,383,1,384,0.26,8
14,NOTA,None of the Above,871,13,884,0.61,8
1,ARVIND BHADORIA,Bharatiya Janata Party,48819,495,49314,32.27,9
2,HARI SHANKAR FHOGI,Bahujan Samaj Party,18690,97,18787,12.29,9
3,HEMANT SATYADEV KATARE,Indian National Congress,68607,935,69542,45.51,9
4,OM PRAKASH JAREHA,Peoples Party of India (Democratic),502,5,507,0.33,9
5,POOJA-HEERENDRA PRATAP (PUR),Aazad Samaj Party (Kanshi Ram),289,3,292,0.19,9
6,MUNNA SINGH BHADOURIA,Samajwadi Party,10208,80,10288,6.73,9
7,ANIL SINGH,Independent,70,0,70,0.05,9
8,ABHISHEK MISHRA,Independent,30,0,30,0.02,9
9,ARVIND TYAGI,Independent,53,1,54,0.04,9
10,ARUN KATARE,Independent,28,3,31,0.02,9
11,ASHOK SINGH,Independent,96,1,97,0.06,9
12,ASHA RAM,Independent,236,1,237,0.16,9
13,UMESH GARG,Independent,89,1,90,0.06,9
14,KESHAV SINGH GURJAR,Independent,169,0,169,0.11,9
15,CHANDRAVEER SINGH KUSHWAH,Independent,108,1,109,0.07,9
16,CHANDRA PRAKASH SHARMA,Independent,563,0,563,0.37,9
17,DHARMENDRA TIWARI,Independent,215,0,215,0.14,9
18,DHARMENDRA SINGH MOURYA,Independent,124,0,124,0.08,9
19,NARENDRA SINGH BANSAL,Independent,262,0,262,0.17,9
20,NAVAL SINGH,Independent,60,0,60,0.04,9
21,PAN SINGH,Independent,79,0,79,0.05,9
22,PANKAJ SHARMA,Independent,59,0,59,0.04,9
23,BRAJENDER SINGH,Independent,26,0,26,0.02,9
24,MAHESH KUMAR,Independent,30,1,31,0.02,9
25,MAHESH SINGH YADAV,Independent,54,0,54,0.04,9
26,MEERA DEVI,Independent,58,0,58,0.04,9
27,RAVI BAGHEL,Independent,230,1,231,0.15,9
28,RAJ KISHOR SHARMA,Independent,79,0,79,0.05,9
29,RAJEEV,Independent,43,0,43,0.03,9
30,RADHAMOHAN,Independent,83,0,83,0.05,9
31,RAMDAS GURJAR,Independent,71,1,72,0.05,9
32,RAMVILASH,Independent,214,0,214,0.14,9
33,RAHUL SHARMA,Independent,167,0,167,0.11,9
34,VIJAY SINGH KUSHVAH,Independent,40,1,41,0.03,9
35,VINOD KUMAR JATAV,Independent,129,0,129,0.08,9
36,SATYA PRAKASH PATHAK,Independent,35,0,35,0.02,9
37,SATENDRA SINGH BHADORIYA (CHACHA),Independent,370,1,371,0.24,9
38,SUNEEL KUMAR,Independent,34,0,34,0.02,9
39,NOTA,None of the Above,164,4,168,0.11,9
1,NARENDRA SINGH KUSHWAH,Bharatiya Janata Party,65588,832,66420,40.96,10
2,CHAUDHARY RAKESH SINGH CHATURVEDI,Indian National Congress,50570,1704,52274,32.24,10
3,RAHUL SINGH KUSHWAH,Aam Aadmi Party,3032,24,3056,1.88,10
4,SANJEEV SINGH (SANJU),Bahujan Samaj Party,34583,355,34938,21.55,10
5,BABOORAM JAMOR,Aazad Samaj Party (Kanshi Ram),689,8,697,0.43,10
6,RAVISEN JAIN NETAJI,Samajwadi Party,226,11,237,0.15,10
7,REKHA MUNNA SHAKYA,All India Forward Bloc,128,5,133,0.08,10
8,SUBHASH CHAND KORKOO,Jai Prakash Janata Dal,93,0,93,0.06,10
9,HOSHIYAR SINGH (SHIVAM CHOUDHARY),Samatamoolak Samaj Party,114,0,114,0.07,10
10,ANIL SHARMA,Independent,220,0,220,0.14,10
11,APARN,Independent,81,2,83,0.05,10
12,KARAN SINGH RAJAWAT,Independent,135,0,135,0.08,10
13,KHEMSINGH,Independent,328,0,328,0.2,10
14,GUDIYA,Independent,178,0,178,0.11,10
15,DEEPSINGH,Independent,571,1,572,0.35,10
16,NARENDRA SINGH,Independent,741,0,741,0.46,10
17,PRADEEP SINGH BHADORIYA,Independent,512,0,512,0.32,10
18,MANOJ JAIN,Independent,216,0,216,0.13,10
19,MAMTA MISHRA,Independent,72,1,73,0.05,10
20,ADVOCATE MAHAVIR SINGH KUSHWAH,Independent,272,0,272,0.17,10
21,KU. RATNA KUSHWAH,Independent,103,1,104,0.06,10
22,ADVOCATE-RAJESH RAIPURIYA,Independent,78,0,78,0.05,10
23,DR. RAM KUMAR TRIPATHI (SITI),Independent,79,0,79,0.05,10
24,VIRENDRA VERMA,Independent,172,2,174,0.11,10
25,NOTA,None of the Above,413,9,422,0.26,10
1,"AMBRISH SHARMA ""GUDDU""",Bharatiya Janata Party,74930,417,75347,42.87,11
2,Dr. GOVIND SINGH,Indian National Congress,62024,926,62950,35.82,11
3,RASAL SINGH,Bahujan Samaj Party,31194,154,31348,17.84,11
4,DHARMENDRA SINGH,Jan Adhikar Party,750,3,753,0.43,11
5,AMRISH,Independent,137,0,137,0.08,11
6,AVILAKH SINGH KUSHWAH,Independent,140,3,143,0.08,11
7,ONKAR SINGH,Independent,114,0,114,0.06,11
8,CHANDRASHEKHAR DWIVEDI (CHANDU AKHDEVA),Independent,116,0,116,0.07,11
9,JAYENDRA SINGH,Independent,198,1,199,0.11,11
10,NAGENDRA SINGH RAJAWAT,Independent,170,0,170,0.1,11
11,PAVAN KUMAR,Independent,120,0,120,0.07,11
12,RAVIKANT DADDU,Independent,197,0,197,0.11,11
13,RAMKUMAR SINGH,Independent,700,0,700,0.4,11
14,VINOD KUMAR(PAPPU CHACHA),Independent,483,2,485,0.28,11
15,"SANJEEV ""AAZAD""",Independent,1412,0,1412,0.8,11
16,NOTA,None of the Above,1554,2,1556,0.89,11
1,RAKESH SHUKLA,Bharatiya Janata Party,86510,643,87153,48.01,12
2,RAJBEER,Bahujan Samaj Party,19416,90,19506,10.75,12
3,RAHUL SINGH BHADOURIA,Indian National Congress,64283,860,65143,35.89,12
4,Satendra Bhadoriya (Lovely),Aam Aadmi Party,1800,25,1825,1.01,12
5,DEV NAGAR (DEVENDRA NAGAR),Vikas India Party,314,1,315,0.17,12
6,BHUPENDRA KARANA (GURJAR),Aazad Samaj Party (Kanshi Ram),4428,60,4488,2.47,12
7,ADVOCATE RAKESH SINGH KAURAV,Loktantrik Samajwadi Party,317,1,318,0.18,12
8,RaJeshwar Singh,Jan Adhikar Party,245,0,245,0.13,12
9,SHIV PRATAP SINGH BHADORIYA,Sapaks Party,328,2,330,0.18,12
10,JAY SINGH,Independent,91,0,91,0.05,12
11,NARESH SINGH,Independent,139,0,139,0.08,12
12,MANISH AGRAWAL,Independent,206,0,206,0.11,12
13,ROHIT OJHA,Independent,155,0,155,0.09,12
14,SATENDRA SINGH,Independent,362,0,362,0.2,12
15,SITARAM,Independent,349,1,350,0.19,12
16,NOTA,None of the Above,904,1,905,0.5,12
1,Keshav Desai,Indian National Congress,69352,589,69941,47.32,13
2,YASHWANT PATWARI,Aam Aadmi Party,1361,5,1366,0.92,13
3,LAL SINGH ARYA,Bharatiya Janata Party,68991,343,69334,46.91,13
4,SURESH SINGH SHOLANKEE,Bahujan Samaj Party,2909,10,2919,1.98,13
5,ANIL GARG,Ambedkarite Party of India,289,3,292,0.2,13
6,ANITA KAMAL NAGAR,Aazad Samaj Party (Kanshi Ram),1238,7,1245,0.84,13
7,DR. MOHAN LAL MAHOR,Samajwadi Party,443,1,444,0.3,13
8,SONU SEVERIYA,Jai Prakash Janata Dal,104,0,104,0.07,13
9,Anil Kumar,Independent,103,0,103,0.07,13
10,Anshul Bansal,Independent,97,0,97,0.07,13
11,KALYAN SINGH,Independent,119,4,123,0.08,13
12,G.P. KHANNA,Independent,152,0,152,0.1,13
13,NARYAN BHARTI,Independent,144,1,145,0.1,13
14,Rajkumar,Independent,325,0,325,0.22,13
15,Sanjay Jatav,Independent,416,0,416,0.28,13
16,NOTA,None of the Above,789,1,790,0.53,13
1,Bharat Singh Kushwah,Bharatiya Janata Party,76286,273,76559,40.6,14
2,SAHAB SINGH GURJAR,Indian National Congress,79321,520,79841,42.34,14
3,Er Sumit Pal,Aam Aadmi Party,868,6,874,0.46,14
4,SuRESH BAGHEL,Bahujan Samaj Party,26931,59,26990,14.31,14
5,JEEVAN KuSHWAH,Rashtriya Samanta Dal,343,0,343,0.18,14
6,DR. RANDHIR SINGH RUHAL,Rashtra Nirman Party,122,3,125,0.07,14
7,RAJESH KUSHWAH,Aazad Samaj Party (Kanshi Ram),231,1,232,0.12,14
8,RAJESH SHANKAR KAKKA,Samajwadi Party,271,2,273,0.14,14
9,UDAYVEER SINGH,Independent,75,1,76,0.04,14
10,GENDA LAL,Independent,114,0,114,0.06,14
11,TeJendra Mishra,Independent,116,0,116,0.06,14
12,Deependra Singh Parmar,Independent,95,0,95,0.05,14
13,DHARMVEER GURJAR,Independent,189,0,189,0.1,14
14,shree NARESH CHANDrA SHARMA,Independent,145,1,146,0.08,14
15,NITESH SINGH,Independent,347,0,347,0.18,14
16,PURAN SiNGH,Independent,765,0,765,0.41,14
17,MAN SINGH,Independent,493,1,494,0.26,14
18,Ravi Joshi,Independent,360,0,360,0.19,14
19,LOKENDRA SINGH GURJAR,Independent,140,0,140,0.07,14
20,SANDEEP SINGH GURJAR,Independent,169,1,170,0.09,14
21,NOTA,None of the Above,306,5,311,0.16,14
1,NiTiN SiNGH TOMAR (MONTY),Bahujan Samaj Party,1249,11,1260,0.64,15
2,PRADHUMAN SiNGH TOMAR,Bharatiya Janata Party,103861,914,104775,52.92,15
3,ROHIT GUPTA,Aam Aadmi Party,1792,24,1816,0.92,15
4,SuNIL SHARMA,Indian National Congress,84357,1278,85635,43.26,15
5,ARTI BHASKARAN BANTHOLIYA,Akhand Bharat Samrajya Party,327,1,328,0.17,15
6,IMRAN KHAN,Aazad Samaj Party (Kanshi Ram),300,2,302,0.15,15
7,ADVOCATE KAUSHAL SHARMA,Communist Party of India,343,0,343,0.17,15
8,DEVI PRASAD VERMA,Indian Peoples Adhikar Party,47,0,47,0.02,15
9,ADVOCATE MAHESH KOLi,Swatantra Jantaraj Party,352,10,362,0.18,15
10,Comrade Mitalee Shukla,Socialist Unity Centre Of India (COMMUNIST),163,4,167,0.08,15
11,RAJVEER DHAKAR,Public Political Party,47,6,53,0.03,15
12,ROSHAN BEG,Samatamoolak Samaj Party,197,0,197,0.1,15
13,Chandan Rathore,Independent,145,1,146,0.07,15
14,JITENDRA TRiPATHi,Independent,106,0,106,0.05,15
15,SMT. NiDHi SHARMA,Independent,434,0,434,0.22,15
16,PAVAN SiNGH,Independent,367,1,368,0.19,15
17,MANEESH KALE,Independent,168,1,169,0.09,15
18,MANiSH SiNGHAL,Independent,376,0,376,0.19,15
19,SUNiL SHARMA,Independent,177,7,184,0.09,15
20,NOTA,None of the Above,886,19,905,0.46,15
1,PRAHLAD SINGH PRAKASH TAILAR,Bahujan Samaj Party,4164,62,4226,2.18,16
2,MAYA SINGH (MAMI JI),Bharatiya Janata Party,83956,992,84948,43.89,16
3,DR SATISH SIKARWAR,Indian National Congress,98450,1851,100301,51.83,16
4,NAROTTAM JATAV,Aazad Samaj Party (Kanshi Ram),940,3,943,0.49,16
5,PRADEEP SHARMA,Jan Adhikar Party,163,4,167,0.09,16
6,VIJAY BAUDDH,Ambedkarite Party of India,197,2,199,0.1,16
7,VINOD KARANA,Samajwadi Party,317,19,336,0.17,16
8,HEMLATA MUKESH KOLI,National Youth Party,76,2,78,0.04,16
9,PROF. Dr. P.D. AGARWAL,Independent,156,3,159,0.08,16
10,DEEPAK KUMAR SEN,Independent,121,2,123,0.06,16
11,SHREE NARESH CHANDRA,Independent,55,0,55,0.03,16
12,NATHU SINGH,Independent,105,12,117,0.06,16
13,MAHESH PAL KATARIYA,Independent,142,0,142,0.07,16
14,MINAKSHI JAIN,Independent,195,2,197,0.1,16
15,VISHAL PAL,Independent,214,1,215,0.11,16
16,NOTA,None of the Above,1301,23,1324,0.68,16
1,NARAYAN SiNGH KUSHWAH,Bharatiya Janata Party,81632,685,82317,49.4,17
2,PANKAJ KUMAR GUPTA,Aam Aadmi Party,1002,24,1026,0.62,17
3,PRAVEEN PATHAK,Indian National Congress,78775,1006,79781,47.88,17
4,SADDO ASHOK KHAN,Bahujan Samaj Party,1241,11,1252,0.75,17
5,KALYAN SINGH KUSHWAH,Aazad Samaj Party (Kanshi Ram),358,1,359,0.22,17
6,GOPAL JAYASWAL,Independent,156,2,158,0.09,17
7,DEVENDRA KUSHWAH,Independent,58,4,62,0.04,17
8,NARAYAN SINGH KUSHAWAH,Independent,166,6,172,0.1,17
9,RAJENDRA SINGH KUSHAWAH,Independent,143,1,144,0.09,17
10,VIJAY MAHOR,Independent,236,0,236,0.14,17
11,NOTA,None of the Above,1103,18,1121,0.67,17
1,KALICHARAN (PAPPu GuRJAR),Bahujan Samaj Party,3780,12,3792,2.07,18
2,MOHAN SINGH RATHORE,Bharatiya Janata Party,96626,374,97000,53.05,18
3,LAKHAN SINGH YADAV,Indian National Congress,74182,464,74646,40.82,18
4,BADAM SINGH BAGHEL,Samatamoolak Samaj Party,796,3,799,0.44,18
5,PROFESSOR VIJAY KUSHWAH,Jan Adhikar Party,922,3,925,0.51,18
6,SATENDRA SiNGH RAWAT,Aazad Samaj Party (Kanshi Ram),944,5,949,0.52,18
7,SANT RAJESWAR GIRI,Samajwadi Party,321,1,322,0.18,18
8,AGAR SINGH,Independent,180,0,180,0.1,18
9,CHAND KHAN,Independent,742,0,742,0.41,18
10,DHARMENDRA CHAUDHARI,Independent,676,3,679,0.37,18
11,MANMOHAN SHARMA,Independent,296,5,301,0.16,18
12,PANDIT RAM MUDGAL,Independent,311,0,311,0.17,18
13,Sushil Kumar Kushwah,Independent,530,2,532,0.29,18
14,SANJAY KUSHWAH,Independent,642,0,642,0.35,18
15,NOTA,None of the Above,1029,3,1032,0.56,18
1,IMARTI DEVI,Bharatiya Janata Party,82092,358,82450,46.79,19
2,SMT SATYAPRAKASHI PARSEDIYA,Bahujan Samaj Party,4392,45,4437,2.52,19
3,SURESH RAJE,Indian National Congress,83917,800,84717,48.08,19
4,PAWAN KUMAR RAI,Rashtriya Rakshak Morcha,941,1,942,0.53,19
5,Dr. Bharat Warsi,Jan Adhikar Party,143,1,144,0.08,19
6,ROOPESH KAIN,Aazad Samaj Party (Kanshi Ram),625,8,633,0.36,19
7,ANiL Agraiya,Independent,147,0,147,0.08,19
8,NAVAL KISHOR MOURYA,Independent,167,0,167,0.09,19
9,RAMVARAN SAGAR,Independent,157,0,157,0.09,19
10,LEELADHAR,Independent,219,0,219,0.12,19
11,VIKASH SAGAR,Independent,322,0,322,0.18,19
12,SANJAY AGARIYA,Independent,301,0,301,0.17,19
13,NOTA,None of the Above,1555,9,1564,0.89,19
1,GHANSHYAM SINGH,Indian National Congress,40597,679,41276,29.32,20
2,DUBEY SANJAY,Aam Aadmi Party,7712,34,7746,5.5,20
3,PRADEEP AGRAWAL,Bharatiya Janata Party,43586,248,43834,31.14,20
4,LAKHAN SINGH YADAV,Bahujan Samaj Party,12712,75,12787,9.08,20
5,ALOK SINGH JADOUN,Aam Bhartiya Party,307,0,307,0.22,20
6,KARAN SiNGH KUSHWAH,National Youth Party,413,2,415,0.29,20
7,DAMODAR SiNGH-YADAV,Aazad Samaj Party (Kanshi Ram),28960,82,29042,20.63,20
8,DEVENDRASiNgh ChAuHAN,Samajwadi Party,515,0,515,0.37,20
9,DHAN SINGH BAGHEL,Jan Adhikar Party,615,1,616,0.44,20
10,Sobran Baghel,All India Forward Bloc,309,1,310,0.22,20
11,KALYAN JATAV (HARSHVARDHAN SINGH),Independent,196,0,196,0.14,20
12,JASVANT SiNGH,Independent,389,0,389,0.28,20
13,MAHiPAT SiNGH,Independent,351,0,351,0.25,20
14,MEENA KUSHWAHA,Independent,400,0,400,0.28,20
15,RAJESH SINGH,Independent,389,0,389,0.28,20
16,RAM AVTAR Singh KuShWAH,Independent,878,0,878,0.62,20
17,RAM KUMAR EToRIYA,Independent,517,0,517,0.37,20
18,VAIDHYA RAMKUMAR GUPTA URF VIDHAYAKJI,Independent,175,1,176,0.13,20
19,RAMPRAKASH,Independent,331,0,331,0.24,20
20,NOTA,None of the Above,289,4,293,0.21,20
1,GHANSHYAM PIRONIYA,Bharatiya Janata Party,52227,378,52605,37.62,21
2,PHOOL SINGH BARAIYA,Indian National Congress,81168,875,82043,58.67,21
3,CHAuDHARI RAJu DoHARE,Bahujan Samaj Party,1940,14,1954,1.4,21
4,RAMANI JATAV,Aam Aadmi Party,239,5,244,0.17,21
5,D.R. RAHUL,Samajwadi Party,366,4,370,0.26,21
6,ATAR SINGH,Independent,126,6,132,0.09,21
7,UDAL SINGH THAKUR (KHANGAR),Independent,183,5,188,0.13,21
8,RAKESH,Independent,270,2,272,0.19,21
9,SUSHIL-RADHEY SHYAM CHANDORIYA,Independent,845,0,845,0.6,21
10,NOTA,None of the Above,1168,7,1175,0.84,21
1,Dr. NAROTTAM MiSHRA,Bharatiya Janata Party,80492,743,81235,45.96,22
2,BHARTI RAJENDRA,Indian National Congress,87648,1329,88977,50.34,22
3,LOKENDRA NETAJI,Bahujan Samaj Party,1150,6,1156,0.65,22
4,USHA AHiRWAR,Samatamoolak Samaj Party,122,2,124,0.07,22
5,AAZAD DESHRAJ PABYA,Aazad Samaj Party (Kanshi Ram),489,1,490,0.28,22
6,KAPTAN SINGH PARMAR,Independent,90,1,91,0.05,22
7,C L BAUDH CHHOTE LAL,Independent,81,0,81,0.05,22
8,PANDIT MAHESH CHAND SHASTRI,Independent,88,1,89,0.05,22
9,RAJNI LiTORiYA,Independent,129,1,130,0.07,22
10,RAVI DANGI,Independent,97,2,99,0.06,22
11,RAJU KHAN,Independent,117,1,118,0.07,22
12,RAMNARESH DANGI,Independent,205,0,205,0.12,22
13,RAMSINGH SENGAR,Independent,185,1,186,0.11,22
14,SHISHIR KHARE,Independent,271,1,272,0.15,22
15,R SiNGH,Independent,748,0,748,0.42,22
16,HARDAS KUSHWAH,Independent,1306,0,1306,0.74,22
17,NOTA,None of the Above,1443,9,1452,0.82,22
1,PRAGILAL JATAV,Indian National Congress,95479,722,96201,47.58,23
2,KHATIK RAMESH PRASAD,Bharatiya Janata Party,98929,375,99304,49.11,23
3,SHANTI DAS FALE (JATAV),Bahujan Samaj Party,1718,11,1729,0.86,23
4,JADISH KALAWAT,Jan Adhikar Party,338,1,339,0.17,23
5,JATAV NATHURAM,Samatamoolak Samaj Party,194,1,195,0.1,23
6,KOLI MEENA,Rashtriya Samaj Paksha,686,3,689,0.34,23
7,MUKESH KUMAR SHASAK,Bahujan Mukti Party,256,0,256,0.13,23
8,RAMESHWAR AZAD,Aazad Samaj Party (Kanshi Ram),616,6,622,0.31,23
9,GULAB SINGH AHIRWAR,Independent,388,0,388,0.19,23
10,RAKESH JONWAR,Independent,790,2,792,0.39,23
11,NOTA,None of the Above,1676,7,1683,0.83,23
1,KAILASH KUSHWAH,Indian National Congress,99068,671,99739,51.57,24
2,PRADHUMNA VERMA (BACHAURA),Bahujan Samaj Party,37064,197,37261,19.27,24
3,SURESH DHAKAD RANTHKHEDA,Bharatiya Janata Party,49966,292,50258,25.99,24
4,VINOD KUMAR,Bahujan Mukti Party,714,1,715,0.37,24
5,SIDDHAM SINGH KHEMARIYA,Aazad Samaj Party (Kanshi Ram),285,1,286,0.15,24
6,KALYAN KUSWAH,Independent,154,0,154,0.08,24
7,KAILASH NARAYAN PARIHAR,Independent,161,0,161,0.08,24
8,GIRRAJ,Independent,112,0,112,0.06,24
9,NARESH DHAKAD,Independent,159,1,160,0.08,24
10,BABOOLAL GORAKH (JATAV),Independent,180,1,181,0.09,24
11,BRAJESH DHAKAR,Independent,170,0,170,0.09,24
12,MAHENDRA DHENGAR,Independent,484,1,485,0.25,24
13,RAMESHWAR VERMA,Independent,572,0,572,0.3,24
14,SATENDRA DHAKAD,Independent,740,0,740,0.38,24
15,HAKIM SINGH VERMA,Independent,858,0,858,0.44,24
16,NOTA,None of the Above,1551,5,1556,0.8,24
1,ABRAN SINGH (KALLI) GURJAR,Bahujan Samaj Party,10656,47,10703,5.41,25
2,DEVENDRA KUMAR JAIN 'PATTE WALE',Bharatiya Janata Party,111495,829,112324,56.74,25
3,K. P. SINGH 'KAKKA JOO',Indian National Congress,68286,1008,69294,35.01,25
4,PARMA RATHORE,Parivartan Party of India,870,1,871,0.44,25
5,RADHE SHYAM SHARMA,Rashtra Nirman Party,247,1,248,0.13,25
6,SATENDAR KARAIYA,Aazad Samaj Party (Kanshi Ram),548,0,548,0.28,25
7,AMAN SONI,Independent,182,1,183,0.09,25
8,MANOJ SURYAVANSHI (SAMMELAN AYOJAK),Independent,676,0,676,0.34,25
9,YASHAVANT SINGH YADAV CHANDAVANI,Independent,264,1,265,0.13,25
10,RAMESH SHARMA,Independent,332,3,335,0.17,25
11,VIJAY BATHAM,Independent,537,2,539,0.27,25
12,HAJARI LAL KOTIA (RATHORE),Independent,576,1,577,0.29,25
13,NOTA,None of the Above,1381,8,1389,0.7,25
1,ARVIND SINGH LODHI,Indian National Congress,98551,795,99346,43.01,26
